name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia
Arkhangelsk	Archangelsk,Архангельск	relation	1330715	place	city	40.53214159059516	64.58548705734323	16	0.5838896972422716		Arkhangelsk	городской округ Архангельск	Arkhangelsk Oblast	Russia	ru	Arkhangelsk, городской округ Архангельск, Arkhangelsk Oblast, Northwestern Federal District	40.284938370559445	64.39746307379804	40.836507245778705	64.77305975922158		ru:Архангельск
Arkhangelsk	Archangelsk,Архангельск,Arjángelsk	node	276628719	place	city	40.537121170941646	64.54302261757604	16	0.5838896972422716		Arkhangelsk	городской округ Архангельск	Arkhangelsk Oblast	Russia	ru	Arkhangelsk, Arkhangelsk, городской округ Архангельск, Arkhangelsk Oblast, Northwestern Federal District	40.537121170941646	64.54302261757604	40.537121170941646	64.54302261757604		ru:Архангельск
Pskov	Pleskau,Псков	node	27025689	place	city	28.33436833946834	57.81739943676421	16	0.5838000475171758		Pskov		Pskov Oblast	Russia	ru	Pskov, Pskov, Pskov Oblast, Northwestern Federal District	28.33436833946834	57.81739943676421	28.33436833946834	57.81739943676421		ru:Псков
Murmansk	Мурманск,Mourmansk,Múrmansk	node	269342417	place	city	33.07497177636992	68.97066364343237	16	0.5816348976503037		Murmansk		Murmansk Oblast	Russia	ru	Murmansk, Murmansk, Murmansk Oblast, Northwestern Federal District	33.07497177636992	68.97066364343237	33.07497177636992	68.97066364343237		ru:Мурманск
Tver	Тверь,Twer	node	27000366	place	city	35.92082839890193	56.85867492102573	16	0.5813796242437504		Tver		Tver Oblast	Russia	ru	Tver, Tver, Tver Oblast, Central Federal District	35.92082839890193	56.85867492102573	35.92082839890193	56.85867492102573		ru:Тверь
Perm	Пермь	node	27504531	place	city	56.24672432408707	58.01496424732522	16	0.5802896578044645		Perm	Пермский городской округ	Perm Krai	Russia	ru	Perm, Perm, Пермский городской округ, Perm Krai, Volga Federal District	56.24672432408707	58.01496424732522	56.24672432408707	58.01496424732522		ru:Пермь
Khabarovsk	Chabarowsk,Jabárovsk,Хабаровск,伯力	node	277060995	place	city	135.07693999420337	48.48140199464354	16	0.5761596336243461		Khabarovsk		Khabarovsk Krai	Russia	ru	Khabarovsk, Khabarovsk, Khabarovsk Krai, Far Eastern Federal District	135.07693999420337	48.48140199464354	135.07693999420337	48.48140199464354		ru:Хабаровск
Astrakhan	Астрахань,Astrachan,Astracán,阿斯特拉罕	node	191697061	place	city	48.03156813391669	46.349854764776794	16	0.5750957399157188		Astrakhan		Astrakhan Oblast	Russia	ru	Astrakhan, Astrakhan, Astrakhan Oblast, South federal district	48.03156813391669	46.349854764776794	48.03156813391669	46.349854764776794		ru:Астрахань
Nizhny Novgorod	Нижний Новгород,Nizhni Novgorod,Nijni Novgorod,Nischni Nowgorod	relation	1752948	place	city	43.86154569089315	56.29478456432241	16	0.5720933337616886		Nizhny Novgorod		Nizhny Novgorod Oblast	Russia	ru	Nizhny Novgorod, Nizhny Novgorod Oblast, Volga Federal District	43.72704636920517	56.187653364385916	44.111958031263505	56.401981981293936		ru:Нижний Новгород
Nizhny Novgorod	Нижний Новгород,Nizhni Novgorod,Nijni Novgorod,Nischni Nowgorod	node	27505889	place	city	44.007289685936485	56.32788201774559	16	0.5720933337616886		Nizhny Novgorod		Nizhny Novgorod Oblast	Russia	ru	Nizhny Novgorod, Nizhny Novgorod, Nizhny Novgorod Oblast, Volga Federal District	44.007289685936485	56.32788201774559	44.007289685936485	56.32788201774559		ru:Нижний Новгород
Vyborg	Выборг,Wyborg	node	1009135181	place	town	28.744050620880216	60.70921587841533	18	0.5706903439716868			Выборгский район	Leningrad oblast	Russia	ru	Vyborg, Vyborg, Выборгский район, Leningrad oblast, Northwestern Federal District	28.744050620880216	60.70921587841533	28.744050620880216	60.70921587841533		ru:Выборг
Tomsk	托木斯克,Томск	node	163043169	place	city	84.95232375993669	56.48871229945834	16	0.5703075514460714		Tomsk		Tomsk Oblast	Russia	ru	Tomsk, Tomsk, Tomsk Oblast, Siberian Federal District	84.95232375993669	56.48871229945834	84.95232375993669	56.48871229945834		ru:Томск
Kursk	Курск,Koursk	node	27090043	place	city	36.17960197356851	51.739432922219905	16	0.5661798165405483		Kursk		Kursk Oblast	Russia	ru	Kursk, Kursk, Kursk Oblast, Central Federal District	36.17960197356851	51.739432922219905	36.17960197356851	51.739432922219905		ru:Курск
Orenburg	Orenbourg,Оренбург,Oremburgo	node	27505509	place	city	55.09711956556848	51.76745069086289	16	0.5655057745970318		Orenburg		Orenburg Oblast	Russia	ru	Orenburg, Orenburg, Orenburg Oblast, Volga Federal District	55.09711956556848	51.76745069086289	55.09711956556848	51.76745069086289		ru:Оренбург
Tyumen	Tjumen,Тюмень,Tioumen,Tiumén	node	27505666	place	city	65.54227589827235	57.15353426523491	16	0.5623859133003036		Tyumen		Tyumen Oblast	Russia	ru	Tyumen, Tyumen, Tyumen Oblast, Ural Federal District	65.54227589827235	57.15353426523491	65.54227589827235	57.15353426523491		ru:Тюмень
Veliky Novgorod	Novgorod,Великий Новгород	relation	3396084	place	city	31.280827218706996	58.56095865401991	16	0.5620301387380263		Veliky Novgorod		Novgorod Oblast	Russia	ru	Veliky Novgorod, Novgorod Oblast, Northwestern Federal District	31.196678637929978	58.470361847740584	31.425795530426058	58.65099999157591		ru:Великий Новгород
Veliky Novgorod	Novgorod,Nóvgorod,大诺夫哥罗德,Великий Новгород,Weliki Nowgorod	node	27017589	place	city	31.275786118072233	58.52098619597573	16	0.5620301387380263		Veliky Novgorod		Novgorod Oblast	Russia	ru	Veliky Novgorod, Veliky Novgorod, Novgorod Oblast, Northwestern Federal District	31.275786118072233	58.52098619597573	31.275786118072233	58.52098619597573		ru:Великий Новгород
Oryol	Орёл,奧廖爾,Orjol,Orel	node	27096008	place	city	36.069247680404715	52.96854321746253	16	0.5619835940314202		Oryol		Oryol Oblast	Russia	ru	Oryol, Oryol, Oryol Oblast, Central Federal District	36.069247680404715	52.96854321746253	36.069247680404715	52.96854321746253		ru:Орёл (город)
Oryol	Орёл,Orjol	relation	1775054	place	city	36.099499361296694	52.96801708540031	16	0.5619835940314202		Oryol		Oryol Oblast	Russia	ru	Oryol, Oryol Oblast, Central Federal District	35.97402012407912	52.895500128085295	36.21903765453345	53.04058106519212		ru:Орёл (город)
Barnaul	Барнаул,Barnaoul,Barnaúl	relation	1550512	place	city	83.7229627706144	53.334668184661936	16	0.560572030345308		Barnaul	городской округ Барнаул	Altai Krai	Russia	ru	Barnaul, городской округ Барнаул, Altai Krai, Siberian Federal District	83.53289606671204	53.18687084037464	83.90775782686535	53.481529940917		ru:Барнаул
Barnaul	Barnaúl,Барнаул,Barnaoul	node	27505285	place	city	83.77841005729135	53.34737615570137	16	0.560572030345308		Barnaul	городской округ Барнаул	Altai Krai	Russia	ru	Barnaul, Barnaul, городской округ Барнаул, Altai Krai, Siberian Federal District	83.77841005729135	53.34737615570137	83.77841005729135	53.34737615570137		ru:Барнаул
Bryansk	Briansk,Brjansk,布良斯克,Брянск	node	27073428	place	city	34.366828747312354	53.24237773102736	16	0.5601586572331688		Bryansk	городской округ Брянск	Bryansk Oblast	Russia	ru	Bryansk, Bryansk, городской округ Брянск, Bryansk Oblast, Central Federal District	34.366828747312354	53.24237773102736	34.366828747312354	53.24237773102736		ru:Брянск
Tula	Тула,Toula	relation	2538203	place	city	37.630797691136515	54.1943453850701	16	0.5594854760154289		Tula	городской округ Тула	Tula Oblast	Russia	ru	Tula, городской округ Тула, Tula Oblast, Central Federal District	37.49595916366809	54.06083662921319	37.74193843369253	54.299476537180844		ru:Тула
Tula	Тула,Toula	node	34389350	place	city	37.61587167629676	54.193826084259	16	0.5594854760154289		Tula	городской округ Тула	Tula Oblast	Russia	ru	Tula, Tula, городской округ Тула, Tula Oblast, Central Federal District	37.61587167629676	54.193826084259	37.61587167629676	54.193826084259	Q2770	ru:Тула
Grozny	Грозный,Grosny,Grozni	node	1522654732	place	city	45.6989682997594	43.31684524798687	16	0.5577227868525522		Grozny		Chechnya	Russia	ru	Grozny, Grozny, Chechnya, North Caucasus federal district	45.6989682997594	43.31684524798687	45.6989682997594	43.31684524798687		ru:Грозный
